region_code,region_lat_center,region_lon_center,event_count,mag_mean,mag_max,depth_mean,sig_mean,tsunami_rate,event_share
G052_126,41.25,136.25,19,4.451052631578947,5.9,352.2935263157895,310.7894736842105,0.0,6.3491830105219325e-06
G052_124,41.25,131.25,19,4.410526315789474,5.9,555.2778421052632,303.10526315789474,0.0,6.3491830105219325e-06
G012_064,-58.75,-18.75,19,4.921052631578948,5.9,11.887368421052633,375.2631578947368,0.0,6.3491830105219325e-06
G051_037,38.75,-86.25,19,2.670526315789474,3.82,8.67,152.89473684210526,0.0,6.3491830105219325e-06
G013_023,-56.25,-121.25,19,5.072631578947369,6.3,10.105263157894736,403.1578947368421,0.0,6.3491830105219325e-06
G030_003,-13.75,-171.25,19,3.8947368421052633,5.2,27.795263157894738,278.57894736842104,0.0,6.3491830105219325e-06
G024_128,-28.75,141.25,19,2.873684210526316,3.9,5.052631578947368,136.47368421052633,0.0,6.3491830105219325e-06
G029_088,-16.25,41.25,19,4.2631578947368425,5.2,11.674736842105263,296.63157894736844,0.0,6.3491830105219325e-06
G016_112,-48.75,101.25,19,4.5736842105263165,5.4,10.11578947368421,324.7894736842105,0.0,6.3491830105219325e-06
G015_118,-51.25,116.25,19,4.536842105263158,4.9,10.26421052631579,317.4736842105263,0.0,6.3491830105219325e-06
G058_023,56.25,-121.25,18,3.738888888888889,4.6,5.919777777777778,222.27777777777777,0.0,6.015015483652357e-06
G051_061,38.75,-26.25,18,4.377777777777777,4.9,9.172777777777778,296.22222222222223,0.0,6.015015483652357e-06
G064_073,71.25,3.75,18,3.2777777777777777,4.7,10.0,215.11111111111111,0.0,6.015015483652357e-06
G064_018,71.25,-133.75,18,3.8000000000000003,5.2,17.177833333333336,230.38888888888889,0.1111111111111111,6.015015483652357e-06
G044_113,21.25,103.75,18,4.449999999999999,4.9,12.956111111111111,306.44444444444446,0.0,6.015015483652357e-06
G032_083,-8.75,28.75,18,4.405555555555555,5.1,12.930555555555555,300.22222222222223,0.0,6.015015483652357e-06
G055_076,48.75,11.25,18,2.572222222222222,4.0,8.994444444444445,110.77777777777777,0.0,6.015015483652357e-06
G036_083,1.25,28.75,18,4.300000000000001,5.3,11.725555555555555,302.44444444444446,0.0,6.015015483652357e-06
G043_112,18.75,101.25,18,4.694444444444445,6.2,13.854999999999999,361.8888888888889,0.0,6.015015483652357e-06
G052_032,41.25,-98.75,18,2.888888888888889,3.5,8.171555555555555,136.05555555555554,0.0,6.015015483652357e-06
G011_057,-61.25,-36.25,18,4.811111111111111,5.7,11.892222222222223,358.94444444444446,0.0,6.015015483652357e-06
G032_087,-8.75,38.75,18,4.405555555555555,5.6,10.02888888888889,302.22222222222223,0.0,6.015015483652357e-06
G038_030,6.25,-103.75,18,4.616666666666666,5.3,10.0,329.3888888888889,0.0,6.015015483652357e-06
G030_110,-13.75,96.25,18,4.877777777777777,7.9,10.0,376.8888888888889,0.0,6.015015483652357e-06
G048_068,31.25,-8.75,18,4.177777777777778,6.8,12.969166666666666,404.8888888888889,0.0,6.015015483652357e-06
G048_069,31.25,-6.25,18,3.9666666666666663,4.6,5.938888888888889,246.66666666666666,0.0,6.015015483652357e-06
G069_111,83.75,98.75,18,4.694444444444445,6.3,10.10888888888889,343.5,0.0,6.015015483652357e-06
G067_072,78.75,1.25,18,4.638888888888889,5.7,9.659333333333333,334.0,0.0,6.015015483652357e-06
G053_125,43.75,133.75,18,4.433333333333334,6.0,413.92555555555555,306.0,0.0,6.015015483652357e-06
G047_091,28.75,48.75,18,4.194444444444445,4.7,11.587222222222222,279.6666666666667,0.0,6.015015483652357e-06
G051_066,38.75,-13.75,17,4.070588235294117,4.8,4.517647058823529,258.94117647058823,0.0,5.680847956782782e-06
G044_030,21.25,-103.75,17,3.9705882352941178,4.5,34.144705882352945,247.0,0.0,5.680847956782782e-06
G070_108,86.25,91.25,17,4.629411764705883,5.3,9.910588235294117,332.05882352941177,0.0,5.680847956782782e-06
G034_134,-3.75,156.25,17,4.6000000000000005,6.0,359.1601176470588,328.8235294117647,0.0,5.680847956782782e-06
G014_072,-53.75,1.25,17,5.411764705882353,6.5,10.470588235294118,456.5882352941176,0.058823529411764705,5.680847956782782e-06
G068_119,81.25,118.75,17,4.511764705882353,5.8,9.882352941176471,316.4117647058824,0.0,5.680847956782782e-06
G067_064,78.75,-18.75,17,4.011764705882353,5.1,10.847529411764707,265.1764705882353,0.0,5.680847956782782e-06
G070_110,86.25,96.25,17,3.011764705882353,5.5,11.052941176470588,217.05882352941177,0.0,5.680847956782782e-06
G054_111,46.25,98.75,17,4.564705882352941,5.3,15.005882352941176,324.5882352941176,0.0,5.680847956782782e-06
G043_035,18.75,-91.25,17,4.3,4.8,16.251058823529412,284.94117647058823,0.0,5.680847956782782e-06
G041_043,13.75,-71.25,17,4.270588235294118,4.5,24.854823529411764,281.88235294117646,0.0,5.680847956782782e-06
G053_030,43.75,-103.75,17,2.9705882352941178,4.0,5.767823529411764,143.11764705882354,0.0,5.680847956782782e-06
G024_102,-28.75,76.25,17,4.276470588235294,5.5,10.0,300.4117647058824,0.0,5.680847956782782e-06
G047_066,28.75,-13.75,17,2.347058823529412,3.4,13.323529411764707,99.23529411764706,0.0,5.680847956782782e-06
G053_109,43.75,93.75,17,4.447058823529411,5.3,14.288058823529411,307.2352941176471,0.0,5.680847956782782e-06
G022_119,-33.75,118.75,17,3.3588235294117648,5.2,5.110294117647059,194.11764705882354,0.0,5.680847956782782e-06
G012_066,-58.75,-13.75,17,5.241176470588235,6.8,14.557058823529411,432.94117647058823,0.058823529411764705,5.680847956782782e-06
G010_006,-63.75,-163.75,17,4.870588235294117,5.7,10.68235294117647,367.8235294117647,0.0,5.680847956782782e-06
G042_048,16.25,-58.75,17,4.105882352941176,5.0,30.96070588235294,262.05882352941177,0.0,5.680847956782782e-06
G048_065,31.25,-16.25,16,3.7625,5.3,13.831249999999999,245.0625,0.0,5.346680429913207e-06
G063_003,68.75,-171.25,16,2.975,4.7,14.219875,143.75,0.0,5.346680429913207e-06
G059_076,58.75,11.25,16,2.1125,3.4,6.47375,79.4375,0.0,5.346680429913207e-06
G050_106,36.25,86.25,16,3.95625,5.4,16.663125,261.0,0.0,5.346680429913207e-06
G063_050,68.75,-53.75,16,4.18125,4.7,12.494375,270.3125,0.0,5.346680429913207e-06
G050_075,36.25,8.75,16,3.3875,5.2,13.35,221.0,0.0,5.346680429913207e-06
G056_071,51.25,-1.25,16,3.025,4.0,7.81875,181.0,0.0,5.346680429913207e-06
G037_039,3.75,-81.25,16,4.45625,5.4,13.35,307.25,0.0,5.346680429913207e-06
G065_125,73.75,133.75,16,4.225,5.1,15.186875,295.1875,0.0,5.346680429913207e-06
G013_069,-56.25,-6.25,16,4.81875,5.3,10.0,358.5625,0.0,5.346680429913207e-06
G054_079,46.25,18.75,16,2.65625,4.4,10.66875,124.5625,0.0,5.346680429913207e-06
G028_012,-18.75,-148.75,16,1.9,4.8,11.96625,82.1875,0.0,5.346680429913207e-06
G056_016,51.25,-138.75,16,4.29375,4.7,10.950625,284.25,0.0,5.346680429913207e-06
G047_030,28.75,-103.75,16,3.1125,4.0,8.6900909220375,152.75,0.0,5.346680429913207e-06
G053_032,43.75,-98.75,16,3.025,4.3,5.0,152.6875,0.0,5.346680429913207e-06
G038_118,6.25,116.25,16,4.825,6.0,132.396375,374.25,0.0,5.346680429913207e-06
G069_072,83.75,1.25,16,4.45,5.8,10.0,308.5,0.0,5.346680429913207e-06
G009_000,-66.25,-178.75,16,4.825,6.2,10.0,387.4375,0.0,5.346680429913207e-06
G043_038,18.75,-83.75,16,4.44375,5.9,12.24875,307.0625,0.0,5.346680429913207e-06
G016_117,-48.75,113.75,16,4.4875,4.9,10.0,310.4375,0.0,5.346680429913207e-06
G021_130,-36.25,146.25,16,3.2875,5.9,12.0625,226.25,0.0,5.346680429913207e-06
