year,month,event_count,mag_mean
2020,11,13300,1.6804842107090225
2020,12,14538,1.6435438163193699
2021,1,1102,0.37471869328493645
2021,2,1184,0.3748564189189189
2021,3,1063,0.3532173095014111
2021,4,1118,0.3567799642218247
2021,5,1247,0.3655493183632718
2021,6,1557,0.35421965317919074
2021,7,1997,0.36471206810215323
2021,8,1765,0.3565042492917847
2021,9,1516,0.35403693931398417
2021,10,1111,0.355022502250225
2021,11,1131,0.3527497789566755
2021,12,860,0.35960465116279067
2022,1,12220,1.8074509004026187
2022,2,11228,1.7658550056091913
2022,3,12067,1.81504433582332
2022,4,11666,1.7437965027910165
2022,5,11031,1.7114948781796753
2022,6,10963,1.7414890175836906
2022,7,11596,1.7798467419952568
2022,8,12194,1.7347683009034771
2022,9,12175,1.788288693845421
2022,10,12091,1.7162136815242743
2022,11,11874,1.8059245966178268
2022,12,11581,1.762369168566445
2023,1,1384,4.499364161849711
2023,2,1524,4.481003937007874
2023,3,1239,4.491299435028249
2023,4,1174,4.504608177172061
2023,5,1444,4.514245152354571
2023,6,1252,4.51755591054313
2023,7,1116,4.478691756272402
2023,8,1097,4.4940109389243394
2023,9,1101,4.503732970027247
2023,10,1392,4.537945402298851
2023,11,1418,4.5097672778561355
2023,12,2037,4.558762886597939
2024,1,1389,4.481295896328294
2024,2,1147,4.470148212728858
2024,3,1122,4.496078431372549
2024,4,1548,4.497280361757106
2024,5,1208,4.492417218543046
2024,6,1109,4.492651036970244
2024,7,1096,4.483412408759124
2024,8,1107,4.4709214092140925
2024,9,1041,4.5002521317904
2024,10,1108,4.496028880866426
2024,11,1052,4.49958174904943
2024,12,1205,4.519867219917012
